t,vx,vy,s,ds
171,1.4389787481336507,-0.487670018097972,-0.6437720434395009,-0.0020807094977907115
172,1.4523730857672923,-0.49132641411978956,-0.6458330718945627,-0.002061028455061842
173,1.4657055471296345,-0.4949867017688729,-0.6478746536788053,-0.002041581784242519
174,1.4789758969071256,-0.4986507604812565,-0.6498970185706843,-0.002022364891879014
175,1.4921839082002308,-0.5023184689925894,-0.651900391893059,-0.0020033733223747685
176,1.5053293624490103,-0.5059897053497947,-0.6538849946457707,-0.0019846027527116172
177,1.5184120493588484,-0.5096643469229841,-0.6558510436329869,-0.0019660489872161957
178,1.531431766826336,-0.5133422704176007,-0.6577987515861301,-0.0019477079531432517
179,1.5443883208652853,-0.5170233518868462,-0.6597283272821762,-0.0019295756960461263
180,1.5572815255328696,-0.520707466744388,-0.6616399754448584,-0.001911648162682189
181,1.570111202869265,-0.5243944897460825,-0.663533906065073,-0.00189393062021459
182,1.582877182251324,-0.528084296335569,-0.6654101262884514,-0.0018762202233784109
183,1.5955793131514044,-0.5317767329421542,-0.6672715448341119,-0.0018614185456604648
184,1.6082172756985094,-0.5354720535078155,-0.6690902061347793,-0.0018186613006674346
185,1.620792616237046,-0.5391662483360381,-0.6710906118309249,-0.0020004056961455685
186,1.633291894406628,-0.542889541938736,-0.6718518155621137,-0.0007612037311888198
187,1.6457977869376175,-0.5464537250465352,-0.6786961497389469,-0.006844334176833167
188,1.6578906574581627,-0.5508068753406036,-0.6606302724572074,0.018065877281739473
189,1.6712890747547637,-0.552081268618786,-0.7273862713986925,-0.0667559989414851
190,1.679911551876972,-0.5638841203890841,-0.5589307557765524,0.16845551562214012
191,1.7000323650210882,-0.5499679911804051,-0.9294709808331157,-0.37054022505656337
192,1.6905714380013368,-0.6010744199233522,-0.00018827741921097617,0.9292827034139047
193,1.7290034526643818,-0.5477876424058705,-0.9794413305623687,-0.9792530531431577
194,1.7139808575502715,-0.6103451135033142,-0.0001273449706259199,0.9793139855917428
195,1.75300479776383,-0.555964391969851,-0.9788889005595838,-0.9787615555889578
196,1.7378326621337372,-0.6181952057875395,-0.00010532978115859528,0.9787835707784251
197,1.7773175277765316,-0.5628881727855712,-0.9966836002132599,-0.9965782704321012
198,1.7599234236991006,-0.6292241116512818,-9.147744873167682e-05,0.9965921227645281
199,1.8001700573709238,-0.5726156674516617,-0.9999999563963816,-0.9999084789476499
